"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"504736","INDFOR","DR","INDIA FORGE & DROP S",0,1,"504736",0,0,0,0,"","INDIA FORGE & DROP S","","","","","","","","","","",0,10,"",0,0,97.5,10,"","","",""
"519538","INDFRE","DR","INDO-FRENCH BIOTECH ENTER",0.72,1,"519538",0,0,0,0,"INDOFREB","INDO-FRENCH BIOTECH ENTER","","","","","","","","","","",0.48,10,"INE867B01012",2.95,0.6,75,0.25,"","","","INDOFREB"
"532514","INDGAS","DR","INDRAPRASHTHA GAS LTD",517.45,1,"532514",0,0,0,0,"IGL","INDRAPRASHTHA GAS LTD","","","","","","","","","","",423.45,2,"INE203G01027",501.35,375.8,604,11.13,"","","","IGL"
"531253","INDGEL","DR","INDIA GELATINE & CHEMICALS LTD",487.95,1,"531253",0,0,0,0,"INDGELA","INDIA GELATINE & CHEMICALS LTD","","","","","","","","","","",325.35,10,"INE342D01012",513.95,325.5,513.95,7.65,"","","","INDGELA"
"526791","INDGER","DR","INDO GERMA PRODUCTS",2.83,1,"526791",0,0,0,0,"","INDO GERMA PRODUCTS","","","","","","","","","","",2.57,10,"",0,0,12.6,1.75,"","","",""
"506945","INDGI","DR","INDO GULF INDUSTRIES",1.87,1,"506945",0,0,0,0,"","INDO GULF INDUSTRIES","","","","","","","","","","",0.19,1,"INE684U01011",0,0,190,1.1,"","","",""
"539433","INDGLO","C","INDO-GLOBAL ENTERPRISES LTD",16.8,1,"539433",0,0,0,0,"INDOGLOBAL","INDO-GLOBAL ENTERPRISES LTD","","","","","","","","","","",15.2,10,"INE400S01016",18.45,9.11,21.9,9.11,"","","","INDOGLOBAL"
"500201","INDGLY","DR","INDIA GLYCOLS LTD",1088.55,1,"500201",0,0,0,0,"INDIAGLYCO","INDIA GLYCOLS LTD","","","","","","","","","","",725.75,10,"INE560A01015",978.9,592.8,1153.1,13.3,"","","","INDIAGLYCO"
"540152","INDGR","C","INDIA GREEN REALITY LIMITED",5.5,1,"540152",0,0,0,0,"IGRL","INDIA GREEN REALITY LIMITED","","","","","","","","","","",4.98,10,"INE373V01019",8.64,4.18,44.7,4.18,"","","","IGRL"
"531968","INDGRE","C","INDO GREEN PROJECTS LTD",50.55,1,"531968",0,0,0,0,"IITLPROJ","INDO GREEN PROJECTS LTD","","","","","","","","","","",48.57,10,"INE786E01018",67.22,14.6,87.05,1,"","","","IITLPROJ"
"540565","INDGRI","DR","INDIA GRID TRUST",162.6,1,"540565",0,0,0,0,"INDIGRID","INDIA GRID TRUST","","","","","","","","","","",108.4,100,"INE219X23014",141.1,121,154,85.71,"","","","INDIGRID"
"500723","INDGUL","DR","INDO GULF CORPORATION LTD",0,1,"500723",0,0,0,0,"","INDO GULF CORPORATION LTD","","","","","","","","","","",0,10,"INE022A01016",67.15,42,141,18,"","","",""
"523066","INDGYP","DR","INDIA GYPSUM LTD",0,1,"523066",0,0,0,0,"","INDIA GYPSUM LTD","","","","","","","","","","",0,10,"INE561A01013",129.95,63.05,129.95,8.8,"","","",""
"543925","INDHIG","DR","IND HIGHWAY CONCESSIONS TRUST",120,1,"543925",0,0,0,0,"IHCT","IND HIGHWAY CONCESSIONS TRUST","","","","","","","","","","",80,10,"INE0M5S23019",0,0,0,0,"","","","IHCT"
"535789","INDHO","DR","INDIABULLS HOUSING FINANCE LTD",208.4,1,"535789",0,0,0,0,"IBULHSGFIN","INDIABULLS HOUSING FINANCE LTD","","","","","","","","","","",139,2,"INE148I01020",208.9,124.83,1283.86,72.47,"","","","IBULHSGFIN"
"530979","INDHOM","DR","INDIA HOME LOAN LIMITED",34.15,1,"530979",0,0,0,0,"INDIAHOME","INDIA HOME LOAN LIMITED","","","","","","","","","","",27.95,10,"INE274E01015",47.5,23,161,0.5,"","","","INDIAHOME"
"500850","INDHOT","DR","INDIAN HOTELS CO LTD",678.6,1,"500850",0,0,0,0,"INDHOTEL","INDIAN HOTELS CO LTD","","","","","","","","","","",555.3,1,"INE053A01029",626,371.45,626,38.87,"","","","INDHOTEL"
"504741","INDHUM","DR","INDIAN HUME PIPE CO. LTD.",477.05,1,"504741",0,0,0,0,"INDIANHUME","INDIAN HUME PIPE CO. LTD.","","","","","","","","","","",318.05,2,"INE323C01030",398.65,191.25,591,1.09,"","","","INDIANHUME"
"539175","INDI","C","INDRA INDUSTRIES LIMITED",16.59,1,"539175",0,0,0,0,"INDRAIND","INDRA INDUSTRIES LIMITED","","","","","","","","","","",15.01,10,"INE924N01016",15.43,2.72,47.95,2.72,"","","","INDRAIND"
"532814","INDIBA","DR","INDIAN BANK",653.6,1,"532814",0,0,0,0,"INDIANB","INDIAN BANK","","","","","","","","","","",435.8,10,"INE562A01011",626.35,275.5,626.35,41.7,"","","","INDIANB"
"506490","INDIEL","DR","INDIAN ELECTRO CHEMICALS LTD.",0.02,1,"506490",0,0,0,0,"","INDIAN ELECTRO CHEMICALS LTD.","","","","","","","","","","",0.01,10,"",0,0,0,0,"","","",""
"535667","INDIFI","C","INDIA FINSEC LTD",136.5,1,"535667",0,0,0,0,"IFINSEC","INDIA FINSEC LTD","","","","","","","","","","",123.5,10,"INE474O01010",149.65,26.13,149.65,4.7,"","","","IFINSEC"
"522099","INDIND","DR","INDUCON INDIA",62.35,1,"522099",0,0,0,0,"","INDUCON INDIA","","","","","","","","","","",56.45,10,"",0,0,64.75,4,"","","",""
