Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,957932,1,9ILFSL28,9ILFSL28,F,INE871D07RL8,0.01,
BSE,957924,1,95TLOPL26,95TLOPL26,F,INE496Z07024,0.01,
BSE,957921,10,880ICCL28,880ICCL28,F,INE244L08059,0.01,
BSE,957915,1000,870IFSL25A,870IFSL25A,F,INE121H07CC0,0.01,
BSE,957907,1,91RCFL25,91RCFL25,F,INE126D07131,0.01,
BSE,957905,1000,890IFSL28,890IFSL28,F,INE121H08164,0.01,
BSE,957898,10,RCLNIFT28,RCLNIFT28,F,INE013A074R6,0.01,
BSE,957889,1,10FEL26,10FEL26,F,INE623B07917,0.01,
BSE,957877,1,853MMFSL33,853MMFSL33,F,INE774D08MU4,0.01,
BSE,957874,1000,870IFSL25,870IFSL25,F,INE121H07CB2,0.01,
BSE,957865,1,135AFSL25,135AFSL25,F,INE808K08046,0.01,
BSE,957864,10,113AUSF24A,113AUSF24A,F,INE519Q08145,0.01,
BSE,957863,10,113AUSFB24,113AUSFB24,F,INE519Q08137,0.01,
BSE,957855,1,1015HLFL25,1015HLFL25,F,INE146O08134,0.01,
BSE,957844,10,88IHFL28,88IHFL28,F,INE148I08306,0.01,
BSE,957837,10,885ICCL28,885ICCL28,F,INE244L08042,0.01,
BSE,957836,1,115ESAF25,115ESAF25,F,INE818W08024,0.01,
BSE,957835,1,9SFL28A,9SFL28A,F,INE721A08DA2,0.01,
BSE,957833,1,895SFL25,895SFL25,F,INE721A08DB0,0.01,
BSE,957824,1,10PFL28,10PFL28,F,INE511C08AL6,0.01,
BSE,957810,1,1015UPPC28,1015UPPC28,F,INE540P07350,0.01,
BSE,957809,1,1015UPPC27,1015UPPC27,F,INE540P07343,0.01,
BSE,957808,1,1015UPPC26,1015UPPC26,F,INE540P07335,0.01,
BSE,957807,1,1015UPPC25,1015UPPC25,F,INE540P07327,0.01,
BSE,957801,1,806REC28,806REC28,F,INE020B08AZ0,0.01,
BSE,957799,1,801REC28,801REC28,F,INE020B08AY3,0.01,
BSE,957790,1,785PFCL28,785PFCL28,F,INE134E08JP5,0.01,
BSE,957788,1,809REC28,809REC28,F,INE020B08AX5,0.01,
BSE,957770,1,9SFL28,9SFL28,F,INE721A08CZ1,0.01,
BSE,957765,1000,865ILFS28B,865ILFS28B,F,INE871D07RJ2,0.01,
BSE,957764,1000,865ILFS28A,865ILFS28A,F,INE871D07RI4,0.01,
BSE,957762,1000,855ILFS25A,855ILFS25A,F,INE871D07RH6,0.01,
BSE,957761,1,872SFL25,872SFL25,F,INE721A07NO4,0.01,
BSE,957746,1,9ILFSPER,9ILFSPER,F,INE121H08156,0.01,
BSE,957744,1,82NABARD28,82NABARD28,F,INE261F08AE6,0.01,
BSE,957727,1000,865ILFS28,865ILFS28,F,INE871D07RF0,0.01,
BSE,957725,1000,855ILFS25,855ILFS25,F,INE871D07RE3,0.01,
BSE,957713,1,95FEL25A,95FEL25A,F,INE623B07669,0.01,
BSE,957712,1,95FEL25,95FEL25,F,INE623B07651,0.01,
BSE,957707,1,893RCL28,893RCL28,F,INE013A070R4,0.01,
BSE,957704,1,1020PFL25,1020PFL25,F,INE511C08AK8,0.01,
BSE,957691,1,828NABAR33,828NABAR33,F,INE261F08AB2,0.01,
BSE,957690,1,822NABAR28,822NABAR28,F,INE261F08AA4,0.01,
BSE,957683,1,843IHFL28A,843IHFL28A,F,INE148I07IR6,0.01,
BSE,957680,1,845HDB28,845HDB28,F,INE756I08132,0.01,
BSE,957671,2,12MFL99,12MFL99,F,INE549K08160,0.01,
BSE,957670,1,843IHFL28,843IHFL28,F,INE148I07IQ8,0.01,
BSE,957656,1,873YES28,873YES28,F,INE528G08402,0.01,
BSE,957649,1,87ABFLPERP,87ABFLPERP,F,INE860H08DZ0,0.01,
BSE,957647,1,850ABFL27,850ABFL27,F,INE860H08DY3,0.01,
BSE,957646,1,825ABFL27,825ABFL27,F,INE860H08DX5,0.01,
BSE,957645,1,890ABFL26A,890ABFL26A,F,INE860H08DW7,0.01,
BSE,957644,1,890ABFL26,890ABFL26,F,INE860H08DV9,0.01,
BSE,957643,1,895ABFL26,895ABFL26,F,INE860H08DU1,0.01,
BSE,957642,1,897ABFL26,897ABFL26,F,INE860H08DT3,0.01,
BSE,957641,1,910ABFL26C,910ABFL26C,F,INE860H08DS5,0.01,
BSE,957640,1,910ABFL26B,910ABFL26B,F,INE860H08DR7,0.01,
BSE,957639,1,910ABFL26A,910ABFL26A,F,INE860H08DQ9,0.01,
BSE,957638,1,910ABFL26,910ABFL26,F,INE860H08DP1,0.01,
BSE,957637,1,925ABFL25B,925ABFL25B,F,INE860H08DN6,0.01,
BSE,957636,1,925ABFL25A,925ABFL25A,F,INE860H08DM8,0.01,
BSE,957635,1,925ABFL25,925ABFL25,F,INE860H08DL0,0.01,
BSE,957634,1,945ABFL25,945ABFL25,F,INE860H08DK2,0.01,
BSE,957633,1,975ABFL24,975ABFL24,F,INE860H08DJ4,0.01,
BSE,957615,1,8ABFL27,8ABFL27,F,INE860H07FD4,0.01,
BSE,957549,1,89ABFL26A,89ABFL26A,F,INE860H07CS9,0.01,
BSE,957543,1,89ABFL26,89ABFL26,F,INE860H07CM2,0.01,
BSE,957542,1,885ABFL26,885ABFL26,F,INE860H07CL4,0.01,
BSE,957531,1,871ABFL25,871ABFL25,F,INE860H07BZ6,0.01,
BSE,957530,1,877ABFL25,877ABFL25,F,INE860H07BX1,0.01,
BSE,957481,1000,840ILFS25A,840ILFS25A,F,INE871D07RD5,0.01,
BSE,957468,1,842HDB28,842HDB28,F,INE756I08124,0.01,
BSE,957463,1,10ERFLPER,10ERFLPER,F,INE528S08068,0.01,
BSE,957446,1,85ABHF27A,85ABHF27A,F,INE831R08068,0.01,
BSE,957445,1,85ABHF27,85ABHF27,F,INE831R08050,0.01,
BSE,957444,1,899ABHF26,899ABHF26,F,INE831R08043,0.01,
BSE,957443,1,91ABHF26B,91ABHF26B,F,INE831R08035,0.01,
BSE,957442,1,91ABHF26A,91ABHF26A,F,INE831R08027,0.01,
BSE,957441,1,91ABHF26,91ABHF26,F,INE831R08019,0.01,
